ambient_temp(C),PbOA2(ml),ODE(ml),OLA(ml),t_inject(C),TMS(ul),ODE_for_TMS(ml),Cl_at_high_t(mM),Cl_at_60C(mM),Result_wavelength(nm),Result_peak/valley
6.0,19.0,15.0,0.0,164.0,180.0,8.0,1.2,0.15,2307.0,1.25
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.3,2118.0,1.97
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.2,2118.0,1.0
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.1,2088.0,1.0
17.7,19.0,15.0,0.0,160.0,180.0,8.0,0.2,0.2,2131.0,2.31
17.7,19.0,15.0,0.0,160.0,180.0,8.0,0.2,0.0,2226.0,1.66
17.7,19.0,15.0,0.0,160.0,180.0,8.0,0.2,0.2,2127.0,2.13
19.9,18.0,15.0,0.0,162.0,180.0,8.0,0.0,0.0,1938.0,3.73
0.1,19.0,13.0,0.0,164.0,170.0,8.0,0.0,0.66,2200.0,1.5
0.1,19.0,13.0,0.0,164.0,170.0,8.0,0.0,0.66,2200.0,1.64
0.1,22.0,13.0,0.0,164.0,210.0,8.0,0.0,0.3,1965.0,3.2
0.1,22.0,13.0,0.0,164.0,210.0,8.0,0.0,0.3,1965.0,3.2
0.1,24.0,13.0,0.0,164.0,210.0,10.0,0.0,0.3,2304.0,1.0
0.1,24.0,16.0,0.0,164.0,210.0,8.0,0.0,0.3,2226.0,1.0
0.1,24.0,18.0,0.0,164.0,210.0,8.0,0.0,0.5,2235.0,1.42
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,0.5,2109.0,1.37
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,0.5,2202.0,1.28
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,1.0,2091.0,2.86
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,1.5,2040.0,3.35
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,0.7,2109.0,1.57
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,1.5,2121.0,2.16
12.4,19.0,12.0,0.0,164.0,175.0,8.0,0.0,1.5,2151.0,1.71
17.7,19.0,12.0,0.0,164.0,175.0,8.0,0.0,1.0,2109.0,1.49
17.7,19.0,12.0,0.0,164.0,175.0,8.0,0.0,0.5,2124.0,1.99
17.7,19.0,12.0,0.0,104.0,175.0,10.0,0.0,0.3,1704.0,5.2
17.7,19.0,13.0,0.0,164.0,175.0,8.0,0.0,0.5,2061.0,2.04
17.7,19.0,14.0,0.0,164.0,175.0,8.0,0.0,0.5,2082.0,2.21
17.7,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.5,2139.0,2.14
17.7,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.5,2160.0,2.1
17.7,18.0,15.0,0.0,158.0,210.0,8.0,0.0,0.0,1995.0,2.0
17.7,18.0,15.0,0.0,158.0,210.0,8.0,0.0,0.0,1953.0,2.0
20.4,18.0,15.0,0.0,150.0,195.0,10.0,0.0,0.3,1763.0,6.11
20.4,18.0,15.0,0.0,150.0,195.0,10.0,0.0,0.3,1922.0,3.0
20.4,18.0,15.0,0.0,150.0,180.0,8.0,0.0,0.3,2000.0,3.0
19.9,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2088.0,2.75
19.9,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2079.0,1.26
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2088.0,1.61
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2028.0,2.1
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2040.0,1.97
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.06,0.03,2003.0,1.95
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.18,0.1,2124.0,1.96
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2034.0,1.75
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2079.0,1.56
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2088.0,1.67
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2082.0,2.19
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2070.0,1.9
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2016.0,1.58
-1.5,18.0,15.0,0.0,162.0,205.0,8.0,0.0,0.0,1728.0,3.96
-1.5,18.0,15.0,0.0,161.0,200.0,8.0,0.0,0.0,1728.0,4.63
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,933.0,2.79
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,933.0,2.98
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,945.0,3.7
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,948.0,3.38
-1.5,4.5,15.0,0.0,148.0,180.0,8.0,0.0,0.0,995.0,1.79
-1.5,4.5,15.0,0.0,150.0,180.0,8.0,0.0,0.0,1005.0,1.87
-1.5,4.5,15.0,0.0,120.0,165.0,10.0,0.0,0.0,930.0,2.55
-1.5,4.5,15.0,0.0,127.0,210.0,10.0,0.0,0.0,925.0,2.47
-1.5,4.5,15.0,0.0,110.0,140.0,12.0,0.0,0.0,930.0,3.0
-1.5,4.5,15.0,0.0,110.0,140.0,12.0,0.0,0.0,925.0,2.83
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,941.0,3.36
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,941.0,3.5
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,941.0,3.46
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.66
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,2.86
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,3.19
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.15,941.0,2.93
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.6,944.0,3.03
-1.5,4.5,15.0,0.0,150.0,180.0,10.0,0.0,0.0,995.0,2.14
-1.5,4.5,15.0,0.0,150.0,180.0,10.0,0.0,0.0,995.0,1.76
-1.5,4.5,15.0,0.0,140.0,300.0,10.0,0.0,0.0,971.0,1.38
-1.5,4.5,15.0,0.5,120.0,210.0,10.0,0.0,0.3,974.0,1.82
-1.5,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,929.0,3.36
-1.5,4.5,15.0,0.0,140.0,300.0,10.0,0.0,0.0,977.0,1.45
-1.5,4.5,15.0,0.0,115.0,140.0,10.0,0.0,0.0,956.0,3.32
-1.5,4.5,15.0,0.0,125.0,210.0,10.0,0.0,0.0,926.0,2.12
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,992.0,2.28
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,926.0,2.92
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,932.0,3.6
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,932.0,3.82
-4.6,4.5,15.0,0.5,120.0,210.0,10.0,0.0,0.3,788.0,1.52
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,929.0,2.75
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,935.0,2.67
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,956.0,3.33
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,941.0,3.46
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,950.0,3.49
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,932.0,3.56
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,950.0,3.62
-4.6,18.0,15.0,0.0,160.0,210.0,7.0,0.0,0.0,1638.0,5.58
-4.6,9.0,15.0,0.0,145.0,115.0,12.0,0.0,0.0,1695.0,5.8
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,893.0,2.31
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,947.0,3.19
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,947.0,3.29
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,932.0,3.24
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,935.0,2.46
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,929.0,3.33
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,959.0,3.3
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.15
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,950.0,3.27
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,941.0,3.31
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,950.0,3.49
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,938.0,3.17
-4.6,4.5,15.0,0.0,140.0,180.0,8.0,0.0,0.0,962.0,2.29
-4.6,4.5,15.0,0.0,127.0,90.0,10.0,0.0,0.0,1070.0,3.86
-4.6,4.5,15.0,0.0,127.0,90.0,10.0,0.0,0.0,1100.0,5.48
-4.6,4.5,15.0,0.0,140.0,120.0,10.0,0.3,0.0,1037.0,3.58
-4.6,4.5,15.0,0.0,125.0,150.0,10.0,0.3,0.0,959.0,3.78
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,941.0,3.34
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,953.0,3.78
-4.6,4.5,15.0,0.0,80.0,210.0,10.0,0.0,0.3,815.0,2.26
-4.6,4.5,15.0,0.0,110.0,210.0,10.0,0.0,0.3,884.0,2.74
-4.6,4.5,15.0,0.0,140.0,210.0,10.0,0.0,0.3,1055.0,3.64
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,941.0,3.18
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,941.0,3.21
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,947.0,3.51
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,3.46
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,3.61
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,3.4
-4.6,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1554.0,6.73
-4.6,4.5,15.0,0.5,120.0,210.0,10.0,0.0,0.3,770.0,1.77
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,935.0,4.19
-4.6,4.5,15.0,0.0,135.0,150.0,10.0,0.0,0.3,989.0,5.52
-4.6,4.5,15.0,0.0,130.0,120.0,10.0,0.0,0.3,977.0,3.7
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,947.0,3.87
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,947.0,3.38
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,941.0,2.76
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,929.0,2.9
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,941.0,2.85
-4.6,4.5,15.0,0.0,83.0,180.0,12.0,0.0,0.3,806.0,2.23
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,953.0,3.42
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.3,0.0,947.0,3.57
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.87
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.51
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.3
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,929.0,3.37
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,929.0,3.96
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.84
-4.6,18.0,15.0,0.0,162.0,210.0,8.0,0.0,0.0,1689.0,4.87
-4.6,18.0,15.0,0.0,161.0,210.0,8.0,0.0,0.0,1710.0,2.67
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,953.0,3.55
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,935.0,3.68
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,932.0,2.99
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,923.0,2.8
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,938.0,2.89
-4.6,4.5,15.0,0.5,140.0,220.0,10.0,0.0,0.0,882.0,1.34
-4.6,4.5,15.0,0.5,140.0,180.0,10.0,0.0,0.0,924.0,1.43
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,930.0,3.0
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,936.0,3.17
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,936.0,3.3
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,924.0,3.48
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,938.0,3.75
-4.6,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.0,935.0,3.19
-4.6,4.5,15.0,0.0,131.0,180.0,10.0,0.0,0.3,947.0,3.38
-4.6,4.5,15.0,0.0,131.0,180.0,10.0,0.0,0.3,953.0,3.9
-4.6,4.5,15.0,0.0,135.0,180.0,10.0,0.0,0.3,959.0,3.64
-4.6,4.5,15.0,0.0,135.0,180.0,10.0,0.0,0.3,953.0,3.49
-4.6,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,953.0,3.04
-4.6,4.5,15.0,0.0,141.0,220.0,10.0,0.0,0.3,1259.0,1.75
-4.6,4.5,15.0,0.0,127.0,300.0,10.0,0.0,0.3,914.0,2.06
-4.6,4.5,15.0,0.0,120.0,155.0,10.0,0.0,0.3,956.0,4.06
-4.6,4.5,15.0,0.0,100.0,120.0,12.0,0.0,0.3,917.0,3.63
-4.6,4.5,15.0,0.3,100.0,84.0,12.0,0.0,0.3,1076.0,7.52
-4.6,4.5,15.0,0.0,100.0,120.0,12.0,0.0,0.3,917.0,3.63
-4.6,4.5,15.0,0.3,100.0,84.0,12.0,0.0,0.3,1076.0,7.52
-4.6,4.5,15.0,0.0,100.0,120.0,12.0,0.0,0.3,917.0,3.63
-4.6,4.5,15.0,0.3,100.0,84.0,12.0,0.0,0.3,1076.0,7.52
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.0,935.0,2.76
-3.8,4.5,15.0,0.0,110.0,180.0,10.0,0.0,0.0,890.0,2.61
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,974.0,3.81
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.24,965.0,3.54
-3.8,4.5,15.0,0.5,120.0,210.0,10.0,0.0,0.3,800.0,2.0
-3.8,4.5,15.0,0.0,127.0,180.0,10.0,0.0,0.3,944.0,3.98
-3.8,18.0,15.0,0.0,162.0,210.0,8.0,0.0,0.0,1695.0,3.61
-3.8,18.0,15.0,0.0,162.0,210.0,8.0,0.0,0.0,1623.0,4.12
-3.8,4.5,15.0,0.0,117.0,180.0,10.0,0.0,0.3,860.0,2.05
-3.8,4.5,15.0,0.0,115.0,180.0,10.0,0.0,0.3,857.0,1.92
-3.8,4.5,15.0,0.0,110.0,140.0,10.0,0.0,0.0,929.0,3.55
-3.8,4.5,15.0,0.0,110.0,140.0,10.0,0.0,0.0,920.0,3.17
-3.8,4.5,15.0,0.0,120.0,140.0,10.0,0.0,0.0,959.0,3.84
-3.8,4.5,15.0,0.0,140.0,180.0,10.0,0.0,0.0,965.0,3.02
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,968.0,2.84
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,965.0,2.88
-3.8,4.5,15.0,0.0,135.0,180.0,10.0,0.0,0.3,965.0,3.11
-3.8,4.5,15.0,0.0,141.0,180.0,10.0,0.0,0.3,983.0,2.72
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1590.0,4.77
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1554.0,6.07
-3.8,4.5,15.0,0.0,110.0,120.0,10.0,0.0,0.0,953.0,3.8
-3.8,4.5,15.0,0.0,110.0,120.0,10.0,0.0,0.0,953.0,3.8
-3.8,4.5,15.0,0.0,140.0,300.0,10.0,0.0,0.0,965.0,1.54
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.0,950.0,2.63
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,962.0,3.71
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,947.0,3.61
-3.8,4.5,15.0,0.0,125.0,180.0,10.0,0.0,0.3,947.0,3.42
-3.8,4.5,15.0,0.0,125.0,180.0,10.0,0.0,0.3,947.0,3.6
-3.8,4.5,15.0,0.5,88.0,210.0,12.0,0.0,0.3,653.0,1.29
-3.8,4.5,15.0,0.5,78.0,210.0,12.0,0.0,0.3,644.0,1.31
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1614.0,9.07
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.2,1506.0,11.0
-3.8,4.5,15.0,0.0,140.0,300.0,10.0,0.0,0.0,953.0,1.75
-3.8,4.5,15.0,0.0,150.0,300.0,10.0,0.0,0.0,986.0,1.42
-3.8,4.5,15.0,0.0,140.0,220.0,10.0,0.0,0.0,965.0,2.08
-3.8,4.5,15.0,0.0,150.0,300.0,8.0,0.0,0.0,1031.0,1.26
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,959.0,3.85
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,959.0,3.46
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,944.0,3.42
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,941.0,3.76
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,956.0,3.64
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,941.0,3.53
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,965.0,3.99
-3.8,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,956.0,4.39
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1722.0,4.48
-3.8,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.3,1554.0,8.77
0.1,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.3,942.0,3.32
